Ano,Mes,N,Idade_Media,Idade_Std,LOS_Medio_H,LOS_Max_H,Gravidade_Media,Gravidade_Std,Top_CIDs
2023,8,4269,47.79620520028109,23.2588158781859,166.7350667603654,3096.0,3.7317873038182245,1.5466728555022504,"{'O800': 177, 'I200': 121, 'O820': 76, 'Z302': 75, 'I64': 67}"
2023,8,4318,46.76817971283001,23.3580015267516,168.09448818897638,5448.0,3.6901343214451137,1.5115492164034268,"{'O800': 211, 'I200': 157, 'O820': 112, 'Z302': 80, 'Z470': 62}"
2023,12,4257,47.831101714822644,24.20457124797209,174.72022551092317,2664.0,3.789288231148696,1.5920968717679005,"{'I200': 131, 'O800': 127, 'O820': 118, 'Z302': 76, 'I64': 75}"
2023,1,4296,48.22648975791434,23.580247774163254,171.00558659217876,2904.0,3.7476722532588456,1.559564483737872,"{'O800': 193, 'I200': 118, 'O820': 103, 'I64': 83, 'N390': 69}"
2022,12,4101,48.087051938551575,23.24473149044556,174.0512070226774,5712.0,3.7286027798098025,1.5440629721399755,"{'O800': 193, 'I200': 148, 'O820': 100, 'I64': 78, 'N390': 74}"
2023,2,4473,47.56561591772859,23.517982080860335,171.65928906773976,8112.0,3.710038005812654,1.5285680928491616,"{'O800': 201, 'I200': 189, 'O820': 84, 'I64': 79, 'N390': 66}"
2023,4,4266,46.5253164556962,24.36647595060747,170.070323488045,2208.0,3.731364275668073,1.5463259378907082,"{'O800': 203, 'I200': 135, 'O820': 95, 'I64': 71, 'J189': 64}"
2023,5,4244,46.20829406220547,23.88095953164398,168.63336475023561,2256.0,3.6965127238454287,1.5170574172517302,"{'O800': 203, 'I200': 145, 'O820': 102, 'I64': 71, 'J189': 68}"
2023,5,4536,48.00110229276896,23.505578846997633,170.25396825396825,3912.0,3.7645502645502646,1.572961986764424,"{'I200': 211, 'O800': 168, 'O820': 115, 'I64': 71, 'J189': 70}"
2023,6,4344,47.73388581952118,24.34467542888636,172.08839779005524,2112.0,3.7790055248618786,1.5842191270966444,"{'O800': 182, 'I200': 151, 'O820': 96, 'I64': 82, 'J189': 70}"
2023,7,4368,48.413003663003664,23.912427731164282,176.47252747252747,2208.0,3.769230769230769,1.576634449879543,"{'O800': 200, 'I200': 142, 'O820': 95, 'I64': 88, 'J189': 70}"
2023,8,4455,47.553759820426485,23.59270698221734,168.15084175084175,4656.0,3.7147025813692482,1.5324939525559755,"{'O800': 178, 'I200': 131, 'I64': 86, 'Z302': 78, 'J189': 76}"
2024,7,4790,49.193110647181626,23.067263318655417,161.42630480167014,3720.0,3.773277661795407,1.579770021979439,"{'I200': 174, 'O800': 174, 'O820': 98, 'I64': 90, 'Z302': 77}"
2024,10,4232,50.12523629489603,22.625534801294766,159.75425330812854,2040.0,3.8090737240075616,1.6069551302363094,"{'I200': 143, 'O800': 133, 'I64': 78, 'O104': 72, 'I219': 65}"
2024,12,4443,48.95093405356741,23.31583021643455,176.5185685347738,4032.0,3.770650461399955,1.5777388812871136,"{'O800': 146, 'I200': 133, 'T813': 60, 'N390': 56, 'J189': 55}"
2023,12,4215,48.3926453143535,23.557768980861887,168.56370106761565,2184.0,3.802846975088968,1.60232136392003,"{'O800': 183, 'O820': 116, 'I200': 109, 'Z302': 76, 'I219': 68}"
2023,12,4448,47.052158273381295,23.709943789753787,170.0341726618705,7296.0,3.7239208633093526,1.5401802963318543,"{'O800': 192, 'I200': 146, 'O820': 110, 'I64': 66, 'Z302': 64}"
2024,2,4285,47.60093348891482,23.63525945117746,163.8105017502917,2808.0,3.758926487747958,1.5685377602655923,"{'O800': 195, 'A90': 142, 'I200': 119, 'O820': 97, 'I64': 76}"
2024,3,5019,47.976090854751945,23.400183317552276,158.78541542139868,2880.0,3.7364016736401675,1.5504187206337965,"{'A90': 190, 'O800': 185, 'O820': 121, 'I200': 119, 'I64': 86}"
2024,4,4617,47.40524149880875,23.79068527014284,166.14424951267057,3000.0,3.7528698288932207,1.5637122316484893,"{'O800': 236, 'A90': 179, 'I200': 115, 'O820': 98, 'Z302': 79}"
2024,5,4868,47.45357436318817,24.337486180258885,171.62366474938372,2976.0,3.774856203779786,1.5809921382553165,"{'O800': 228, 'I200': 146, 'O820': 125, 'A90': 104, 'Z302': 89}"
2024,7,4725,48.682539682539684,24.32502800864712,171.29142857142858,3000.0,3.811005291005291,1.6083653382080103,"{'O800': 181, 'I200': 144, 'I64': 90, 'O820': 80, 'J189': 80}"
2024,7,4965,49.51379657603223,23.7014668238071,176.95709969788518,3048.0,3.851560926485398,1.6375676476803018,"{'O800': 174, 'I200': 158, 'O820': 109, 'J189': 83, 'N390': 82}"
2024,7,5024,48.71218152866242,23.093874911528257,162.21974522292993,3144.0,3.734076433121019,1.5485202016060169,"{'O800': 208, 'I200': 157, 'O820': 103, 'Z302': 84, 'I64': 79}"
2025,1,4632,49.40112262521589,22.830928318354808,152.3678756476684,3648.0,3.7875647668393784,1.5907693496715505,"{'O800': 186, 'I200': 134, 'I64': 81, 'Z302': 79, 'I219': 67}"
2024,12,4073,50.281856125705865,22.991779245209244,158.07709305180455,2328.0,3.830837220721827,1.6228693788759636,"{'O800': 159, 'I200': 142, 'I64': 84, 'N390': 60, 'Z302': 54}"
2025,3,4264,48.65736397748593,23.133978353029743,161.31332082551594,5328.0,3.7354596622889304,1.5496776884521195,"{'O800': 134, 'I200': 120, 'I64': 85, 'Z302': 65, 'N390': 60}"
2025,4,4231,49.54431576459466,23.507181342215926,164.6929803828882,5160.0,3.8329000236350743,1.6243464091459792,"{'O800': 144, 'I200': 136, 'Z302': 71, 'I64': 69, 'O820': 53}"
2024,12,4532,49.264783759929394,23.506655375460156,155.0414827890556,2184.0,3.8323036187113857,1.6239048735163386,"{'O800': 162, 'I200': 139, 'I64': 76, 'Z302': 74, 'I219': 62}"
